"","City","Long","Lat"
"1","Chicago, IL",-87.6298,41.87811
"2","Knoxville, TN",-83.92074,35.96064
"3","Atlanta, GA (Metropolitan Area)",-84.43827,33.84982
"4","Huntsville, AL",-86.5861,34.73037
"5","Detroit, MI",-83.04575,42.33143
"6","Indianapolis, IN",-86.15807,39.7684
"7","New York City, NY (Metropolitan Area)",-74.00597,40.71278
"8","Charlotte, NC",-80.84313,35.22709
"9","Greensboro/High Point, NC",-79.96987,35.98646
"10","Aspen, CO",-106.81754,39.1911
"11","Louisville, KY",-85.75846,38.25266
"12","Dallas/Fort Worth, TX",-96.92091,32.70788
"13","Cincinnati, OH",-84.51202,39.10312
"14","Columbus, OH",-82.99879,39.96118
"15","Albany, NY",-73.75623,42.65258
"16","Minneapolis/St. Paul, MN",-93.201,44.93748
"17","Portland, OR",-122.67839,45.51523
"18","Las Vegas, NV",-115.1391,36.17156
"19","Milwaukee, WI",-87.90647,43.0389
"20","Cleveland, OH (Metropolitan Area)",-81.69436,41.49932
"21","Boston, MA (Metropolitan Area)",-71.05888,42.36008
"22","Denver, CO",-104.99025,39.73924
"23","Kansas City, MO",-94.57857,39.09973
"24","Fresno, CA",-119.78712,36.7378
"25","Boise, ID",-116.20231,43.61502
"26","Amarillo, TX",-101.8313,35.222
"27","Philadelphia, PA",-75.16522,39.95258
"28","Grand Rapids, MI",-85.66809,42.96336
"29","Savannah, GA",-81.0912,32.0809
"30","Myrtle Beach, SC",-78.88669,33.68906
"31","Dayton, OH",-84.19161,39.75895
"32","Houston, TX",-95.3698,29.76043
"33","Albuquerque, NM",-106.65042,35.08439
"34","Birmingham, AL",-86.81036,33.51859
"35","Columbia, SC",-81.03481,34.00071
"36","Austin, TX",-97.74306,30.26715
"37","Reno, NV",-119.81427,39.52992
"38","Charleston, SC",-79.93105,32.77647
"39","Syracuse, NY",-76.14742,43.04812
"40","Flint, MI",-83.68746,43.01253
"41","Colorado Springs, CO",-104.82136,38.83388
"42","Burlington, VT",-73.21207,44.47588
"43","Buffalo, NY",-78.87837,42.88645
"44","Sacramento, CA",-121.4944,38.58157
"45","Miami, FL (Metropolitan Area)",-80.63269,26.30139
"46","Los Angeles, CA (Metropolitan Area)",-118.24368,34.05223
"47","Asheville, NC",-82.55149,35.59506
"48","Hartford, CT",-72.67337,41.7658
"49","Jacksonville, FL",-81.65565,30.33218
"50","Madison, WI",-89.40075,43.07217
"51","Salt Lake City, UT",-111.89105,40.76078
"52","New Orleans, LA",-90.07153,29.95107
"53","San Diego, CA",-117.16108,32.71574
"54","El Paso, TX",-106.48502,31.76188
"55","Pasco/Kennewick/Richland, WA",-119.11995,46.20867
"56","Nashville, TN",-86.7816,36.16266
"57","Corpus Christi, TX",-97.39638,27.80058
"58","Orlando, FL",-81.37893,28.53838
"59","Palm Springs, CA",-116.54529,33.8303
"60","Seattle, WA",-122.33207,47.60621
"61","Medford, OR",-122.87559,42.32652
"62","Everett, WA",-122.20208,47.97898
"63","Bend/Redmond, OR",-121.31531,44.05817
"64","Raleigh/Durham, NC",-78.89862,35.99403
"65","Harrisburg, PA",-76.8867,40.27319
"66","Washington, DC (Metropolitan Area)",-77.37838,39.12897
"67","Norfolk, VA (Metropolitan Area)",-76.28587,36.85077
"68","Richmond, VA",-77.43605,37.54072
"69","Memphis, TN",-90.04898,35.14953
"70","Spokane, WA",-117.42605,47.65878
"71","Phoenix, AZ",-112.07404,33.44838
"72","Pittsburgh, PA",-79.99589,40.44062
"73","Lubbock, TX",-101.85517,33.57786
"74","Omaha, NE",-95.9345,41.25654
"75","Little Rock, AR",-92.28802,34.74446
"76","Tulsa, OK",-95.99278,36.15398
"77","Tampa, FL (Metropolitan Area)",-82.45718,27.95058
"78","Fayetteville, AR",-94.16058,36.06266
"79","West Palm Beach/Palm Beach, FL",-80.05337,26.71534
"80","Rochester, NY",-77.60885,43.15658
"81","Oklahoma City, OK",-97.51643,35.46756
"82","Des Moines, IA",-93.62496,41.58684
"83","St. Louis, MO",-90.1994,38.627
"84","Tucson, AZ",-110.97418,32.25398
"85","Portland, ME",-70.25682,43.6591
"86","Greenville/Spartanburg, SC",-81.94998,34.95073
"87","San Francisco, CA (Metropolitan Area)",-122.41942,37.77493
"88","Midland/Odessa, TX",-102.25225,31.93917
"89","Valparaiso, FL",-86.50273,30.50853
"90","Pensacola, FL",-87.21691,30.42131
"91","Fort Myers, FL",-81.87231,26.64063
"92","Salinas/Monterey, CA",-121.6555,36.67774
"93","Sarasota/Bradenton, FL",-82.53101,27.33647
"94","Mission/McAllen/Edinburg, TX",-98.17756,26.2337
