"","Year","quarter","mkt_fare","citymarketid_1","citymarketid_2","city1","city2","carairlineid","car","carpax","carpaxshare","caravgfare","fareinc_min","fareinc_minpaxsh","fareinc_max","fare_inc_maxpaxsh","fare_inc_x3paxsh","Geocoded_City1","Geocoded_City2","tbl5pk","lat1","lon1","lat2","lon2","distance"
"1",2013,"2",264.17,30977,32070,"Chicago, IL","Harrisburg, PA",19977,"UA",8910,0.55,264.46,225,0.27,375,0.07,0.0011,"Chicago, IL
(41.775002, -87.696388)","Harrisburg, PA
(40.259572, -76.881821)","20132309773207019977UA",41.87811,-87.6298,40.27319,-76.8867,916.76402529532
"2",2014,"2",329.25,30977,33105,"Chicago, IL","Cincinnati, OH",19977,"UA",10550,0.34,312.37,150,0.06,500,0.12,0.23,"Chicago, IL
(41.775002, -87.696388)","Cincinnati, OH
(39.104427, -84.513808)","20142309773310519977UA",41.87811,-87.6298,39.10312,-84.51202,405.529313491306
"3",2014,"2",274.9,35412,31703,"Knoxville, TN","New York City, NY (Metropolitan Area)",19805,"AA",2870,0.12,265.18,175,0.23,375,0.05,0.08,"Knoxville, TN
(35.962631, -83.916677)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20142354123170319805AA",35.96064,-83.92074,40.71278,-74.00597,1011.77601635749
"4",2014,"3",274.6,30397,31057,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",20355,"US",5620,0.21,239.37,75,0.19,500,0.08,0.46,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Charlotte, NC
(35.222936, -80.840161)","20143303973105720355US",33.84982,-84.43827,35.22709,-80.84313,362.893125160433
"5",2018,"3",130.92,30325,32211,"Denver, CO","Las Vegas, NV",19393,"WN",58490,0.2773,131.38,75,0.0957,175,0.0774,0.0983,"","","20183303253221119393WN",39.73924,-104.99025,36.17156,-115.1391,972.808844628003
"6",2018,"3",130.92,30325,32211,"Denver, CO","Las Vegas, NV",19977,"UA",23840,0.113,160.69,75,0.1128,350,0.0638,0.1841,"","","20183303253221119977UA",39.73924,-104.99025,36.17156,-115.1391,972.808844628003
"7",2018,"3",139.47,30325,33316,"Denver, CO","Omaha, NE",19393,"WN",14550,0.2265,147.51,100,0.1924,300,0.0564,0.0034,"","","20183303253331619393WN",39.73924,-104.99025,41.25654,-95.9345,783.157974982915
"8",2018,"3",139.47,30325,33316,"Denver, CO","Omaha, NE",19977,"UA",13680,0.2129,153.65,75,0.0512,275,0.0702,0.1681,"","","20183303253331619977UA",39.73924,-104.99025,41.25654,-95.9345,783.157974982915
"9",2018,"3",271.45,30397,31057,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",19790,"DL",9580,0.2652,275.49,150,0.0522,375,0.0595,0.0115,"","","20183303973105719790DL",33.84982,-84.43827,35.22709,-80.84313,362.893125160433
"10",2018,"3",271.45,30397,31057,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",19805,"AA",8150,0.2256,267.78,175,0.0969,375,0.0613,0.0245,"","","20183303973105719805AA",33.84982,-84.43827,35.22709,-80.84313,362.893125160433
"11",2015,"2",295.25,30255,30852,"Huntsville, AL","Washington, DC (Metropolitan Area)",19790,"DL",4430,0.14,283.74,175,0.09,375,0.08,0.04,"Huntsville, AL
(34.729538, -86.585283)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)","20152302553085219790DL",34.73037,-86.5861,39.12897,-77.37838,952.06826653703
"12",2015,"2",385.61,31295,34100,"Detroit, MI","Philadelphia, PA",19790,"DL",11220,0.27,369.52,100,0.05,700,0.06,0.51,"Detroit, MI
(42.332916, -83.047853)","Philadelphia, PA
(39.951061, -75.16562)","20152312953410019790DL",42.33143,-83.04575,39.95258,-75.16522,710.113722507413
"13",2018,"3",283.97,30397,33044,"Atlanta, GA (Metropolitan Area)","Louisville, KY",19790,"DL",12430,0.4705,294.94,125,0.0756,500,0.1432,0.3025,"","","20183303973304419790DL",33.84982,-84.43827,38.25266,-85.75846,503.396798147453
"14",2014,"4",289.07,31295,30529,"Detroit, MI","Hartford, CT",20355,"US",2960,0.14,230.41,175,0.16,300,0.07,0.01,"Detroit, MI
(42.332916, -83.047853)","Hartford, CT
(41.765775, -72.673356)","20144312953052920355US",42.33143,-83.04575,41.7658,-72.67337,857.647439195629
"15",2013,"1",285.04,32337,31650,"Indianapolis, IN","Minneapolis/St. Paul, MN",19790,"DL",20090,0.83,291.43,175,0.21,550,0.06,0.08,"Indianapolis, IN
(39.76845, -86.156212)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)","20131323373165019790DL",39.7684,-86.15807,44.93748,-93.201,814.514168710895
